Name,Status,Hours of Operation,Menu,District,Street Address,City,Zip,Phone Number,Website,How To Order,Order via Email Address,Delivery Options,Pickup Options,Accepting Future Orders,"If Accepting Future Orders, provide details",Selling Gift Cards?,Limited or special menu?
Tiger+Lily,Regular Hours,"Monday - Thursday, 11:30am-9pm
Friday, 11:30am-10pm
Saturday, 12pm-10pm",Tigerandlilybistro.com,Downtown,19 E Gay St,Columbus,43215,614-928-9989,tigerandlilybistro.com,"Direct Call,Website,Delivery Apps",,"GrubHub,Door Dash","Carry Out,Curbside",Yes,Order up to 24 hours advance though online system. ,"""Yes, In Person""",Yes
Tommy’s Pizza Campus ,Regular Hours,,www.tommyspizza.com,University District/Old North,174 W Lane Ave ,Columbus ,43201,614-294-4669,www.tommyspizza.com,"Direct Call,Delivery Apps",,Door Dash,Carry Out,Yes,We always accept future  orders ,"""Yes, In Person""",
Tommy’s Pizza Dublin ,Regular Hours,,www.tommyspizza.com,Dublin,4279 W Dublin Granville Rd ,Dublin,43017,614-764-3999,www.tommyspizza.com,"Direct Call,Delivery Apps",,Door Dash,Carry Out,Yes,You can always place a future order with us ,"""Yes, In Person""",
Tommy’s Pizza Upper Arlington ,Regular Hours,,www.tommyspizza.com,Upper Arlington,1350 W Lane Ave ,Columbus ,43221,614-486-2969,www.tommyspizza.com,"Direct Call,Delivery Apps",,Door Dash,Carry Out,Yes,We always accept further orders ,"""Yes, In Person""",
Tupelo doughnuts,Regular Hours,"Fri - sun 
Kitchenshop 6-10 off sawmill with preorder or GrubHub ubereats DoorDash deliveries 
 Fri - sun 
Tupelo donut truck 4584 n high clintonville 8-12 in Clintonville with preorder or GrubHub ubereats DoorDash deliveries ",preorder/tupelodoughnuts.com,Dublin,2672 Bilingsley rd off sawmill or 4584 n high st clintonville ,Columbus ,43214,6142622427,tupelosoughnuts.com,"Website,Delivery Apps,Email",order@tupelodoughnuts.com,"GrubHub,Postmates,Uber Eats,Door Dash","Curbside,Carry Out",Yes,,"""Yes, Online""",Yes
Uptown Deli and Brew,Limited Hours,,http://www.uptowndeliandbrew.com,Westerville,41 N State St,Westerville ,43081,614-891-2337,http://www.uptowndeliandbrew.com,"Direct Call,Email",,,"Carry Out,Curbside",Yes,"Restaurant is available for carry out, growler sales and deli counter from 11a-8p daily. 

We are also a local brewery and have a retail deli case for meats, cheeses, bread and more. 

For any larger orders or catering orders please email catering@uptowndeliandbrew.com 

Delivery may be available for these large orders! ","""Yes, In Person""",
Valters at the Maennerchor,Temporarily Closed,,https://www.gofundme.com/f/help-valters-staff,German/Merion Village,976 S High St,Columbus,43206,(614) 444-3531,,,,,,,,,
Wolf's Ridge Brewing,Limited Hours,Everyday 10:30 am - 9 pm,https://wolfsridgebrewing.com/the-tap-room/#tap_room_menu,Downtown,215 N. 4th St.,Columbus,43215,4192770108,https://wolfsridgebrewing.com/,"Direct Call,Delivery Apps",,Uber Eats,"Curbside,Carry Out",Yes,,"""Yes, Online"",""Yes, In Person""",Yes
Yellow Brick Pizza - Dennison Place,Limited Hours,,http://www.yellowbrickpizza.com/dinner.php,Short North/Italian Village,245 King Ave,Columbus,43201,6144290750,www.yellowbrickpizza.com,"Direct Call,Delivery Apps",,"GrubHub,Door Dash,Uber Eats","Curbside,Carry Out",Yes,up to 24 hours in advance. future orders must be prepaid. ,"""Yes, In Person""",
Yellow Brick Pizza - Olde Towne East,Limited Hours,,http://www.yellowbrickpizza.com/dinner.php,Olde Towne East,892 Oak St. ,Columbus ,43205,6147255482,www.yellowbrickpizza.com,"Direct Call,Delivery Apps",,"GrubHub,Door Dash,Uber Eats","Curbside,Carry Out",Yes,up to 24 hours in advance. future orders are prepaid only. ,"""Yes, In Person""",
Yun nan crossing bridge noodle,Regular Hours,,www.yunnannoodle.com,Northwest Columbus,2548 bethel rd ,Columbus Ohio ,43220,6149295552,www.yunnannoodle.com,"Website,Direct Call,Delivery Apps",,,"Curbside,Carry Out",Yes,,No,
Z’s Asian bistro ,Regular Hours,,,Upper Arlington,3415 e broad st ,Columbus oh,43213,6145250626,www.zsasianbistro.com,"Direct Call,Website,Delivery Apps",,"GrubHub,Door Dash,Direct from Restaurant ","Curbside,Carry Out",Yes,,No,
Harvest Pizza - Bexley,Limited Hours,"Daily, 4:00 - 9:00",https://www.harvestpizzeria.com/menu-1,Bexley,2376 E. Main St,Bexley,43209,(614) 824-4081,https://www.harvestpizzeria.com/,"Direct Call,Delivery Apps",,GrubHub,"Curbside,Carry Out",,,"""Yes, In Person""",
Harvest Pizza - Clintonville,Limited Hours,"Daily, 4:00 - 9:00",https://www.harvestpizzeria.com/menu-1,Clintonville,2885 N High St.,Columbus,43202,(614) 947-7133,https://www.harvestpizzeria.com/,"Direct Call,Delivery Apps",,GrubHub,"Curbside,Carry Out",,,"""Yes, In Person""",
Harvest Pizza - Dublin,Limited Hours,"Daily, Noon - 8:00",https://www.harvestpizzeria.com/menu-1,Dublin,45 N. High St.,Dublin,43017,(614) 726-9919,https://www.harvestpizzeria.com/,"Direct Call,Delivery Apps",,GrubHub,"Curbside,Carry Out",,,"""Yes, In Person""",
Hudson 29 - Upper Arlington,Limited Hours,"Daily, 4:00 - 8:00

",https://www.facebook.com/photo.php?fbid=10215586121397288&set=gm.624921308347923&type=3&theater,Upper Arlington,1600 W. Lane Ave,Upper Arlington,43221,(614) 487-0622,https://hudson29.com/,Direct Call,,,"Curbside,Carry Out",,,"""Yes, Online""",https://www.facebook.com/photo.php?fbid=10215586121397288&set=gm.624921308347923&type=3&theater
Hudson 29 - New Albany,Limited Hours,"Daily, 4:00 - 8:00

",https://www.facebook.com/photo.php?fbid=10215586121397288&set=gm.624921308347923&type=3&theater,New Albany,"260 Market St, Suite D",New Albany,432054,(614) 859 - 2900,https://hudson29.com/,Direct Call,,,"Curbside,Carry Out",,,"""Yes, Online""",https://www.facebook.com/photo.php?fbid=10215586121397288&set=gm.624921308347923&type=3&theater
South Of Lane,Regular Hours,"Monday: Closed
Tues-Sat: 7:00-2:00
Sunday: 8:00-1:00",https://lookaside.fbsbx.com/file/facebook%20menu.pdf?token=AWyYgIFDVCIkRBhO5IfSdRhoVVOn8WyzNkwbaB4RswEgJJRgQ_vbCkem73Y0n_xLJxFwOo__BkszC1Tc02oT4Z73tJBsti7kdSt-EsoCZxxnLf796jwobvuTNx1YIQt1OgHK9rqsbFaNKHR_oLx1vNsv,Upper Arlington,1987 Guilford Rd,Upper Arlington,43221,(614) 586-2233,https://www.facebook.com/SouthOfLane/,"Direct Call,Email,DM on Instagram",orders.southoflanecafe@gmail.com,,Carry Out,Yes,,"""Yes, In Person"",""Yes, via Email""",
101 Beer Kitchen - Dublin,Limited Hours,"Daily, 12:00 - 8:00
",https://www.101beerkitchen.com/dublin-ohio/#orderonline,Dublin,7509 Sawmill Rd,Dublin,43016,(614) 210-1010,https://www.101beerkitchen.com/,"Direct Call,Website,Delivery Apps",,Door Dash,Curbside,Yes,,"""Yes, Online"",""Yes, In Person""",https://www.101beerkitchen.com/dublin-ohio/#orderonline
101 Beer Kitchen - Gahanna,Limited Hours,"Daily, 12:00 - 8:00
",https://www.101beerkitchen.com/gahanna-ohio#orderonline,Gahanna,397 Stoneridge Lane,Gahanna,43230,(614) 934 - 5501,https://www.101beerkitchen.com/,"Direct Call,Website,Delivery Apps",,Door Dash,Curbside,Yes,,"""Yes, Online"",""Yes, In Person""",https://www.101beerkitchen.com/gahanna-ohio#orderonline
101 Beer Kitchen - Westerville,Limited Hours,"Daily, 12:00 - 8:00
",https://www.101beerkitchen.com/gahanna-ohio#orderonline,Westerville,817 Polaris Pkwy,Westerville,43082,(614) 776-4775,https://www.101beerkitchen.com/,"Direct Call,Website,Delivery Apps",,Door Dash,Curbside,Yes,,"""Yes, Online"",""Yes, In Person""",https://www.101beerkitchen.com/gahanna-ohio#orderonline
,,,,,Street Address,City,,Phone,,,,,,,,,
Lemongrass,Regular Hours,"Sunday 11:30am - 10:00pm
Monday 11:30am - 10:00pm
Tuesday 11:30am - 11:00pm
Wednesday 11:30am - 11:00pm
Thursday 11:30am - 11:00pm
Friday 11:30am - 11:00pm
Saturday 11:30am - 11:00pm",http://lemongrassfusion.com/menu/,,641 N. High st,Columbus,43215,614-224-1414,http://lemongrassfusion.com,"Direct Call,Delivery Apps",,"Direct from Restaurant ,Postmates,Door Dash,Uber Eats","Carry Out,Curbside",No,,"""Yes, In Person""",Normal menu. Full menu available 
